User ID,Daily Time Spent on Site,Age,EstimatedSalary,Daily Internet Usage,Ad Topic Line,City,Country,Timestamp,Gender,Clicked
15624510,68.95,35,61834,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Tunisia,2016-03-27 00:53:11,Male,0
15810944,80.23,31,68442,193.77,Monitored national standardization,West Jodi,Nauru,2016-04-04 01:39:02,Male,0
15668575,69.47,26,59786,236.5,Organic bottom-line service-desk,Davidton,San Marino,2016-03-13 20:35:42,Female,0
15603246,74.15,29,54806,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Italy,2016-01-10 02:31:19,Female,0
15804002,68.37,35,73890,225.58,Robust logistical utilization,South Manuel,Iceland,2016-06-03 03:36:18,Male,0
15728773,59.99,23,59762,226.74,Sharable client-driven software,Jamieberg,Norway,2016-05-19 14:30:17,Male,0
15598044,88.91,33,53853,208.36,Enhanced dedicated support,Brandonstad,Myanmar,2016-01-28 20:59:32,Female,0
15694829,66.0,48,24593,131.76,Reactive local challenge,Port Jefferybury,Australia,2016-03-07 01:40:15,Female,1
15600575,74.53,30,68862,221.51,Configurable coherent function,West Colin,Grenada,2016-04-18 09:33:42,Male,0
15727311,69.88,20,55642,183.82,Mandatory homogeneous architecture,Ramirezton,Ghana,2016-07-11 01:42:51,Female,0
15570769,47.64,49,45633,122.02,Centralized neutral neural-net,West Brandonton,Qatar,2016-03-16 20:19:01,Female,1
15606274,83.07,37,62491,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,Burundi,2016-05-08 08:10:10,Female,0
15746139,69.57,48,51637,113.12,Centralized content-based focus group,West Katiefurt,Egypt,2016-06-03 01:14:41,Male,1
15704987,79.52,24,51740,214.23,Synergistic fresh-thinking array,North Tara,Bosnia and Herzegovina,2016-04-20 21:49:22,Male,0
15628972,42.95,33,30976,143.56,Grass-roots coherent extranet,West William,Barbados,2016-03-24 09:31:49,Male,1
15697686,63.45,23,52182,140.64,Persistent demand-driven interface,New Travistown,Spain,2016-03-09 03:41:30,Male,1
15733883,55.39,37,23937,129.41,Customizable multi-tasking website,West Dylanberg,Palestinian Territory,2016-01-30 19:20:41,Male,1
15617482,82.03,41,71511,187.53,Intuitive dynamic attitude,Pruittmouth,Afghanistan,2016-05-02 07:00:58,Male,0
15704583,54.7,36,31088,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,Male,1
