day,date,day_of_week,foot_traffic,revenue
1,2026-01-06,Tuesday,152,889.87
2,2026-01-07,Wednesday,229,1166.77
3,2026-01-08,Thursday,142,716.43
4,2026-01-09,Friday,64,533.09
5,2026-01-10,Saturday,156,914.84
6,2026-01-11,Sunday,121,906.98
7,2026-01-12,Monday,238,1242.08
8,2026-01-13,Tuesday,70,596.34
9,2026-01-14,Wednesday,152,870.87
10,2026-01-15,Thursday,171,926.37
11,2026-01-16,Friday,260,1199.2
12,2026-01-17,Saturday,264,1395.72
13,2026-01-18,Sunday,124,640.53
14,2026-01-19,Monday,252,1242.93
15,2026-01-20,Tuesday,137,763.02
16,2026-01-21,Wednesday,166,874.98
17,2026-01-22,Thursday,149,695.45
18,2026-01-23,Friday,153,774.85
19,2026-01-24,Saturday,201,1128.95
20,2026-01-25,Sunday,180,1014.22
21,2026-01-26,Monday,199,1101.38
22,2026-01-27,Tuesday,102,622.89
23,2026-01-28,Wednesday,51,432.48
24,2026-01-29,Thursday,137,785.79
25,2026-01-30,Friday,285,1419.04
26,2026-01-31,Saturday,207,1174.68
27,2026-02-01,Sunday,87,521.84
28,2026-02-02,Monday,179,893.93
29,2026-02-03,Tuesday,241,1331.47
30,2026-02-04,Wednesday,237,1315.18
31,2026-02-05,Thursday,70,339.07
32,2026-02-06,Friday,210,1146.04
33,2026-02-07,Saturday,253,1124.95
34,2026-02-08,Sunday,107,717.06
35,2026-02-09,Monday,71,394.8
36,2026-02-10,Tuesday,285,1495.24
37,2026-02-11,Wednesday,138,721.81
38,2026-02-12,Thursday,98,617.63
39,2026-02-13,Friday,268,1245.54
40,2026-02-14,Saturday,108,613.54
41,2026-02-15,Sunday,219,1130.71
42,2026-02-16,Monday,269,1437.39
43,2026-02-17,Tuesday,237,1360.04
44,2026-02-18,Wednesday,257,1352.96
45,2026-02-19,Thursday,64,461.81
46,2026-02-20,Friday,239,1143.25
47,2026-02-21,Saturday,239,1112.01
48,2026-02-22,Sunday,224,1173.23
49,2026-02-23,Monday,239,1236.36
50,2026-02-24,Tuesday,100,648.65
51,2026-02-25,Wednesday,157,912.9
52,2026-02-26,Thursday,104,646.87
53,2026-02-27,Friday,293,1351.14
54,2026-02-28,Saturday,113,729.91
55,2026-03-01,Sunday,298,1482.58
56,2026-03-02,Monday,180,883.57
57,2026-03-03,Tuesday,278,1367.82
58,2026-03-04,Wednesday,100,488.1
59,2026-03-05,Thursday,184,950.47
60,2026-03-06,Friday,70,525.06
61,2026-03-07,Saturday,122,672.79
62,2026-03-08,Sunday,216,1053.07
63,2026-03-09,Monday,67,430.85
64,2026-03-10,Tuesday,181,1001.38
65,2026-03-11,Wednesday,138,663.05
66,2026-03-12,Thursday,109,558.97
67,2026-03-13,Friday,63,443.66
68,2026-03-14,Saturday,291,1359.54
69,2026-03-15,Sunday,299,1651.11
70,2026-03-16,Monday,58,398.73
71,2026-03-17,Tuesday,139,702.94
72,2026-03-18,Wednesday,102,543.61
73,2026-03-19,Thursday,179,916.85
74,2026-03-20,Friday,133,702.91
75,2026-03-21,Saturday,141,617.17
76,2026-03-22,Sunday,160,971.1
77,2026-03-23,Monday,237,1215.26
78,2026-03-24,Tuesday,248,1263.81
79,2026-03-25,Wednesday,221,1209.93
80,2026-03-26,Thursday,57,322.13
81,2026-03-27,Friday,224,1097.33
82,2026-03-28,Saturday,84,564.59
83,2026-03-29,Sunday,255,1292.35
84,2026-03-30,Monday,130,762.59
85,2026-03-31,Tuesday,213,1102.09
86,2026-04-01,Wednesday,99,576.19
87,2026-04-02,Thursday,153,953.18
88,2026-04-03,Friday,181,1049.76
89,2026-04-04,Saturday,51,179.6
90,2026-04-05,Sunday,183,1091.93
91,2026-04-06,Monday,103,786.2
92,2026-04-07,Tuesday,155,946.04
93,2026-04-08,Wednesday,53,371.35
94,2026-04-09,Thursday,103,558.36
95,2026-04-10,Friday,270,1423.23
96,2026-04-11,Saturday,240,1180.47
97,2026-04-12,Sunday,195,1055.99
98,2026-04-13,Monday,267,1349.75
99,2026-04-14,Tuesday,93,665.94
100,2026-04-15,Wednesday,211,1068.34
