subscriber_id,signup_month,visits_per_month,renewed
BM0001,Nov,11.9,1
BM0002,Oct,28.6,1
BM0003,Sep,22.2,1
BM0004,Nov,18.4,1
BM0005,Oct,5.5,0
BM0006,Sep,5.5,1
BM0007,Oct,2.7,0
BM0008,Nov,26.1,1
BM0009,Sep,18.4,1
BM0010,Oct,21.5,1
BM0011,Sep,1.6,0
BM0012,Oct,29.1,1
BM0013,Nov,25.1,1
BM0014,Nov,7.2,0
BM0015,Sep,6.3,0
BM0016,Oct,6.3,0
BM0017,Sep,9.8,0
BM0018,Sep,16.2,1
BM0019,Oct,13.5,1
BM0020,Oct,9.4,1
BM0021,Oct,18.7,1
BM0022,Nov,5.0,0
BM0023,Sep,9.5,0
BM0024,Sep,11.6,1
BM0025,Nov,14.2,1
BM0026,Oct,23.8,1
BM0027,Nov,6.8,0
BM0028,Nov,15.9,0
BM0029,Nov,18.2,1
BM0030,Sep,2.3,0
BM0031,Nov,18.6,1
BM0032,Sep,5.9,0
BM0033,Sep,2.9,0
BM0034,Sep,28.5,1
BM0035,Oct,29.0,1
BM0036,Sep,24.4,1
BM0037,Sep,9.8,0
BM0038,Oct,3.8,0
BM0039,Sep,20.8,1
BM0040,Nov,13.8,1
BM0041,Nov,4.5,0
BM0042,Sep,15.4,0
BM0043,Oct,2.0,0
BM0044,Nov,27.4,1
BM0045,Oct,8.5,1
BM0046,Oct,20.2,1
BM0047,Nov,10.0,1
BM0048,Oct,16.1,1
BM0049,Nov,16.9,1
BM0050,Oct,6.4,0
BM0051,Nov,29.1,1
BM0052,Sep,23.5,1
BM0053,Nov,28.2,1
BM0054,Nov,26.9,1
BM0055,Nov,18.3,1
BM0056,Nov,27.7,1
BM0057,Oct,3.6,0
BM0058,Sep,6.7,0
BM0059,Nov,2.3,0
BM0060,Oct,10.4,0
BM0061,Sep,12.3,1
BM0062,Sep,8.9,0
BM0063,Sep,25.0,1
BM0064,Sep,11.3,1
BM0065,Nov,9.1,1
BM0066,Nov,16.7,1
BM0067,Oct,5.1,0
BM0068,Oct,24.3,1
BM0069,Oct,3.2,0
BM0070,Sep,29.6,1
BM0071,Sep,23.4,1
BM0072,Nov,6.8,1
BM0073,Sep,1.2,0
BM0074,Sep,24.6,1
BM0075,Sep,21.5,1
BM0076,Oct,22.1,0
BM0077,Oct,23.4,1
BM0078,Nov,3.1,0
BM0079,Sep,11.4,1
BM0080,Sep,4.4,0
BM0081,Nov,26.0,1
BM0082,Sep,19.1,1
BM0083,Sep,10.6,0
BM0084,Oct,2.8,0
BM0085,Nov,10.0,0
BM0086,Nov,10.4,1
BM0087,Nov,22.2,1
BM0088,Nov,19.5,1
BM0089,Oct,26.7,1
BM0090,Oct,14.7,0
BM0091,Sep,4.5,0
BM0092,Sep,21.7,1
BM0093,Sep,23.1,1
BM0094,Sep,17.3,1
BM0095,Oct,23.4,1
BM0096,Nov,15.3,1
BM0097,Oct,16.2,1
BM0098,Sep,13.4,1
BM0099,Oct,1.7,1
BM0100,Nov,4.1,1
BM0101,Nov,1.9,0
BM0102,Oct,19.5,1
BM0103,Oct,10.1,0
BM0104,Oct,15.7,1
BM0105,Sep,27.3,1
BM0106,Oct,8.2,0
BM0107,Oct,12.9,0
BM0108,Oct,22.9,1
BM0109,Nov,7.6,1
BM0110,Nov,3.2,0
BM0111,Sep,9.4,0
BM0112,Sep,5.7,0
BM0113,Nov,28.0,1
BM0114,Nov,24.4,1
BM0115,Nov,19.4,1
BM0116,Oct,26.3,1
BM0117,Oct,24.3,1
BM0118,Nov,6.4,0
BM0119,Oct,26.9,1
BM0120,Oct,16.6,1
BM0121,Sep,24.4,1
BM0122,Nov,27.0,1
BM0123,Nov,10.2,1
BM0124,Oct,4.2,0
BM0125,Nov,7.6,1
BM0126,Sep,13.4,1
BM0127,Sep,24.7,1
BM0128,Sep,26.0,1
BM0129,Nov,1.2,0
BM0130,Nov,15.8,0
BM0131,Nov,13.1,0
BM0132,Nov,7.4,1
BM0133,Nov,4.5,1
BM0134,Sep,10.8,0
BM0135,Oct,28.3,1
BM0136,Sep,10.4,1
BM0137,Nov,16.0,0
BM0138,Sep,21.4,1
BM0139,Nov,11.5,1
BM0140,Nov,29.2,1
BM0141,Sep,28.9,1
BM0142,Nov,8.3,0
BM0143,Oct,15.4,1
BM0144,Nov,9.7,1
BM0145,Oct,9.3,0
BM0146,Oct,2.1,0
BM0147,Nov,18.7,1
BM0148,Sep,15.6,1
BM0149,Oct,2.5,0
BM0150,Sep,9.1,1
BM0151,Oct,27.3,1
BM0152,Nov,7.9,1
BM0153,Nov,5.2,0
BM0154,Oct,15.2,1
BM0155,Nov,29.6,1
BM0156,Oct,8.0,0
BM0157,Nov,20.5,1
BM0158,Sep,23.1,1
BM0159,Nov,7.9,0
BM0160,Sep,22.1,1
BM0161,Nov,11.7,0
BM0162,Sep,19.3,1
BM0163,Nov,19.4,1
BM0164,Sep,16.5,1
BM0165,Oct,3.6,0
BM0166,Oct,25.2,1
BM0167,Sep,10.3,0
BM0168,Nov,6.4,0
BM0169,Sep,2.2,0
BM0170,Nov,18.1,1
BM0171,Oct,20.6,1
BM0172,Nov,1.5,0
BM0173,Oct,15.9,1
BM0174,Nov,7.6,0
BM0175,Nov,19.7,1
BM0176,Nov,6.1,1
BM0177,Sep,21.0,1
BM0178,Sep,12.2,0
BM0179,Oct,28.2,1
BM0180,Oct,5.0,0
BM0181,Sep,10.9,0
BM0182,Oct,4.3,1
BM0183,Sep,27.8,1
BM0184,Nov,26.4,1
BM0185,Oct,8.5,0
BM0186,Oct,20.1,1
BM0187,Sep,24.7,1
BM0188,Oct,17.1,1
BM0189,Oct,16.4,1
BM0190,Nov,8.0,0
BM0191,Oct,3.7,0
BM0192,Nov,27.0,1
BM0193,Sep,27.1,1
BM0194,Oct,19.4,1
BM0195,Nov,10.8,1
BM0196,Sep,11.1,0
BM0197,Oct,22.1,1
BM0198,Sep,27.0,1
BM0199,Oct,26.7,1
BM0200,Sep,23.6,1
BM0201,Sep,19.6,1
BM0202,Nov,3.4,0
BM0203,Sep,5.7,0
BM0204,Oct,27.1,1
BM0205,Oct,18.6,1
BM0206,Nov,1.3,0
BM0207,Oct,3.9,0
BM0208,Oct,20.2,1
BM0209,Oct,1.1,0
BM0210,Sep,5.7,0
BM0211,Sep,16.9,1
BM0212,Oct,21.1,1
BM0213,Nov,19.9,1
BM0214,Sep,7.5,0
BM0215,Nov,21.7,1
BM0216,Oct,7.9,1
BM0217,Oct,10.4,0
BM0218,Sep,22.6,1
BM0219,Oct,19.8,1
BM0220,Sep,25.6,1
BM0221,Oct,20.1,1
BM0222,Oct,17.5,1
BM0223,Sep,3.7,0
BM0224,Sep,11.7,1
BM0225,Sep,8.7,0
BM0226,Oct,8.1,0
BM0227,Oct,29.2,1
BM0228,Nov,12.4,0
BM0229,Sep,26.9,1
BM0230,Oct,19.3,1
BM0231,Oct,24.0,1
BM0232,Sep,15.6,0
BM0233,Nov,17.7,1
BM0234,Sep,15.3,1
BM0235,Nov,6.7,0
BM0236,Oct,22.0,1
BM0237,Nov,9.1,0
BM0238,Oct,1.7,0
BM0239,Sep,19.7,1
BM0240,Sep,6.1,0
BM0241,Sep,28.3,1
BM0242,Nov,28.7,1
BM0243,Oct,27.5,1
BM0244,Sep,11.7,1
BM0245,Sep,1.4,0
BM0246,Oct,27.9,1
BM0247,Sep,13.4,1
BM0248,Oct,29.0,1
BM0249,Oct,28.9,1
BM0250,Oct,25.7,1
BM0251,Oct,9.5,0
BM0252,Oct,12.2,1
BM0253,Nov,25.7,1
BM0254,Sep,10.2,1
BM0255,Nov,5.9,0
BM0256,Sep,17.1,1
BM0257,Nov,28.1,1
BM0258,Oct,21.2,1
BM0259,Sep,17.5,1
BM0260,Sep,3.8,0
BM0261,Nov,18.8,1
BM0262,Nov,29.7,1
BM0263,Sep,5.1,0
BM0264,Nov,16.0,1
BM0265,Nov,26.4,1
BM0266,Nov,22.5,1
BM0267,Oct,21.2,1
BM0268,Oct,21.4,1
BM0269,Nov,11.4,0
