subscriber_id,visits_per_month,renewed
BM1265,11,1
BM1065,6,1
BM1120,14,1
BM1132,16,1
BM1378,18,1
BM1026,8,1
BM1287,16,1
BM1111,18,1
BM1280,25,1
BM1164,12,1
BM1056,6,0
BM1274,13,1
BM1155,17,1
BM1346,8,1
BM1220,7,1
BM1393,15,1
BM1118,7,1
BM1057,10,1
BM1327,8,1
BM1301,16,1
BM1052,8,1
BM1138,8,1
BM1397,6,0
BM1391,6,1
BM1030,20,1
BM1295,7,1
BM1253,9,0
BM1194,12,1
BM1231,12,1
BM1154,7,1
BM1228,16,1
BM1014,15,1
BM1241,2,1
BM1357,12,1
BM1060,8,1
BM1360,4,0
BM1051,17,1
BM1207,2,0
BM1235,27,1
BM1089,2,0
BM1187,26,1
BM1177,3,0
BM1246,7,0
BM1305,16,1
BM1109,3,0
BM1364,5,1
BM1129,8,1
BM1237,14,1
BM1028,24,1
BM1041,11,1
BM1003,8,0
BM1022,8,1
BM1159,21,1
BM1372,7,1
BM1210,14,0
BM1216,30,1
BM1268,18,1
BM1114,5,0
BM1398,10,0
BM1080,9,1
BM1148,17,1
BM1361,7,1
BM1368,4,0
BM1331,12,1
BM1090,11,0
BM1330,3,0
BM1333,13,0
BM1238,13,0
BM1332,9,1
BM1292,16,1
BM1385,16,1
BM1145,10,1
BM1170,8,1
BM1232,6,1
BM1374,7,1
BM1221,5,0
BM1059,10,0
BM1362,19,1
BM1074,16,1
BM1079,9,1
BM1270,5,1
BM1098,6,1
BM1081,8,1
BM1050,8,1
BM1244,17,1
BM1358,12,1
BM1147,11,1
BM1386,30,0
BM1053,10,0
BM1352,12,0
BM1140,7,1
BM1359,7,1
BM1259,7,1
BM1369,12,1
BM1174,8,1
BM1288,9,1
BM1066,11,1
BM1303,24,1
BM1165,7,0
BM1101,21,1
BM1382,11,1
BM1084,9,1
BM1115,19,1
BM1328,15,1
BM1099,16,1
BM1254,10,1
BM1141,17,1
BM1015,16,1
BM1256,27,1
BM1261,5,0
BM1300,26,1
BM1086,11,1
BM1037,10,0
BM1002,6,0
BM1062,19,1
BM1284,24,1
BM1157,5,1
BM1306,15,1
BM1173,9,1
BM1204,9,1
BM1073,18,1
BM1316,12,1
BM1104,7,0
BM1248,11,1
BM1296,18,1
BM1016,12,0
BM1227,20,1
BM1335,5,0
BM1163,18,1
BM1088,7,0
BM1334,7,1
BM1102,8,1
BM1162,13,1
BM1070,8,1
BM1133,8,0
BM1193,4,1
BM1394,5,0
BM1139,22,1
BM1263,10,0
BM1018,6,0
BM1308,6,0
BM1020,20,1
BM1055,8,1
BM1200,19,0
BM1338,15,1
BM1313,12,1
BM1240,10,1
BM1150,17,0
BM1266,13,1
BM1212,17,1
BM1097,11,1
BM1347,15,1
BM1122,8,0
BM1113,6,0
BM1375,13,1
BM1269,6,1
BM1108,7,0
BM1337,4,0
BM1094,11,1
BM1289,7,1
BM1125,14,1
BM1239,12,1
BM1384,9,1
BM1091,13,1
BM1381,20,1
BM1336,8,1
BM1188,7,1
BM1181,14,1
BM1178,10,1
BM1326,6,1
BM1024,19,1
BM1255,6,1
BM1243,12,1
BM1126,4,0
BM1324,14,1
BM1078,7,0
BM1217,5,0
BM1206,30,1
BM1297,4,1
BM1367,20,1
BM1061,21,1
BM1278,7,1
BM1093,21,1
BM1321,14,1
BM1222,10,1
BM1069,10,1
BM1036,18,1
BM1040,7,1
BM1160,11,1
BM1283,17,1
BM1011,11,1
BM1144,2,0
BM1273,6,0
BM1351,11,0
BM1236,4,1
BM1127,8,1
BM1202,21,1
BM1184,9,1
BM1046,20,1
BM1281,16,1
BM1298,2,0
BM1356,10,1
BM1176,9,1
BM1128,25,1
BM1143,12,1
BM1007,15,1
BM1389,7,1
BM1242,8,1
BM1302,7,0
BM1179,13,0
BM1172,5,0
BM1294,10,1
BM1008,7,1
BM1156,10,1
BM1027,11,1
BM1293,20,1
BM1350,8,0
BM1058,9,1
BM1205,9,1
BM1064,10,1
BM1082,13,1
BM1395,7,1
BM1213,17,1
BM1310,17,1
BM1153,4,1
BM1048,14,1
BM1208,9,1
BM1245,21,1
BM1031,11,1
BM1001,7,1
BM1171,10,1
BM1323,4,1
BM1013,11,1
BM1365,11,1
BM1009,9,1
BM1146,8,1
BM1258,5,1
BM1264,9,1
BM1370,12,1
BM1095,12,1
BM1034,7,1
BM1096,4,0
BM1387,7,0
