subscriber_id,visits_per_month,visits_per_week,total_visits_quarter,visit_trend_3mo,days_since_last_visit,app_opens_per_month,avg_extra_spend,tenure_months,loyalty_points,visited_cancel_page,distance_from_campus_km,signup_day_of_week,birthday_month,has_profile_photo,phone_os_ios,newsletter_opt_in,referral_count,avg_visit_hour,preferred_cup_size,app_crashes_logged,num_payment_methods,profile_completeness_pct,survey_responses_sent,campus_zone_code,renewed
BM2514,2,0.27,6,-3.22,23,10,10.66,3,4,1,0.61,3,10,1,1,0,0,15.2,1,0,1,43,2,3,0
BM2168,3,0.57,8,3.65,8,8,4.27,3,0,0,1.49,5,12,1,1,1,0,5.8,3,2,3,56,2,4,1
BM2144,3,0.63,12,-0.97,42,21,3.82,2,43,0,3.44,6,9,1,0,1,0,3.8,3,1,2,62,3,4,1
BM2123,7,1.63,20,-3.66,12,10,1.78,4,59,1,2.2,6,3,0,1,0,0,8.7,3,1,3,68,4,5,0
BM2521,7,1.59,20,-1.58,7,15,2.56,2,72,0,1.06,2,3,0,1,1,1,13.1,1,0,2,42,0,1,1
BM2376,14,3.22,42,-1.16,16,23,7.54,5,68,0,1.21,0,8,1,1,0,1,17.5,1,0,1,67,3,3,1
BM2798,13,3.03,37,-1.0,3,13,3.29,2,118,0,3.71,3,10,0,0,1,0,15.2,3,0,2,39,4,4,1
BM2293,14,3.27,42,-2.48,6,29,7.28,7,65,0,0.94,6,8,1,0,1,1,13.9,1,1,2,97,3,4,1
BM2597,3,0.74,9,1.35,10,9,3.68,1,25,0,1.77,5,6,1,1,0,0,12.4,1,2,2,79,0,2,1
BM2576,7,1.63,19,0.62,1,5,5.41,3,71,1,1.22,1,1,0,1,1,1,11.4,3,1,3,71,1,3,0
BM2243,23,5.42,67,5.17,0,41,10.96,3,110,0,3.44,0,1,0,0,0,0,12.5,1,0,3,77,3,5,1
BM2095,7,1.61,22,-2.4,3,11,3.4,4,141,0,8.51,3,1,0,1,1,0,10.5,1,1,1,76,1,2,1
BM2615,6,1.32,21,0.79,38,14,6.81,5,106,0,3.67,0,9,0,0,0,1,17.3,3,2,1,76,2,5,1
BM2788,14,3.39,43,1.94,4,32,3.94,10,111,0,3.79,4,9,1,1,1,0,9.9,2,1,1,55,1,4,1
BM2591,4,1.04,12,2.71,7,4,6.98,7,131,1,1.76,3,1,1,1,0,0,12.1,2,0,3,95,1,3,0
BM2789,8,1.89,22,1.84,14,16,5.9,1,12,0,0.81,2,2,0,0,1,0,15.0,2,0,1,79,0,1,1
BM2311,6,1.51,18,-1.08,51,8,7.59,1,2,1,2.05,2,5,1,1,0,0,9.9,2,0,2,35,0,3,0
BM2202,10,2.11,29,0.88,16,29,8.42,4,57,0,3.02,6,2,0,0,0,1,13.8,2,0,2,88,1,3,1
BM2712,8,1.92,23,-0.34,23,27,3.73,4,53,1,0.45,3,2,1,0,0,1,16.2,2,1,2,93,2,5,0
BM2720,8,1.73,28,-1.86,60,21,10.7,1,56,1,3.07,2,7,0,0,0,1,10.9,2,0,3,98,3,1,0
BM2073,9,1.95,28,1.09,1,24,4.01,4,17,1,0.37,5,4,1,1,1,0,16.9,1,0,1,54,1,2,0
BM2135,16,3.69,48,0.67,47,32,2.56,5,81,1,1.71,1,2,0,1,1,0,14.5,1,0,3,60,0,3,0
BM2026,19,4.42,58,-0.79,1,36,6.48,8,144,0,1.78,1,2,1,1,1,0,15.0,1,1,1,74,2,4,1
BM2552,11,2.59,34,-2.61,10,27,4.56,1,146,1,0.62,0,7,0,1,0,1,17.0,3,0,1,74,3,3,0
BM2405,5,1.15,14,-2.26,8,13,6.3,4,83,0,1.84,5,9,1,1,0,0,14.5,3,0,3,60,1,1,1
BM2317,15,3.49,46,-0.75,6,32,7.08,5,158,0,7.0,1,9,1,0,0,0,9.7,1,0,3,55,1,3,1
BM2513,10,2.29,33,4.03,4,16,3.07,2,90,0,1.18,2,1,1,1,0,1,10.8,1,1,1,35,0,3,1
BM2762,18,4.03,49,1.22,8,41,7.02,2,153,0,1.77,0,4,0,1,1,0,7.8,2,0,2,60,2,3,1
BM2794,11,2.68,31,-1.64,5,26,5.46,6,56,0,4.2,5,11,1,1,0,1,12.2,1,1,1,73,1,2,1
BM2434,10,2.34,30,-1.24,20,6,5.61,4,77,0,1.81,0,3,0,1,1,0,17.2,1,0,1,64,3,1,1
BM2655,11,2.48,34,0.26,2,23,4.05,1,97,0,6.63,3,10,1,1,0,1,14.2,2,1,3,88,0,3,1
BM2574,14,3.18,43,0.83,2,26,12.64,2,105,0,1.22,2,6,1,1,0,0,10.4,1,0,1,43,2,4,1
BM2340,15,3.76,50,2.92,1,26,12.77,8,145,0,1.27,5,5,1,1,1,1,14.8,2,0,1,58,2,1,1
BM2543,19,4.14,60,-1.44,2,40,11.73,3,153,0,2.37,0,10,1,0,0,1,14.1,2,0,1,46,3,1,1
BM2773,11,2.6,33,5.76,7,25,6.91,1,71,0,3.48,1,8,1,0,0,0,9.7,3,2,1,63,2,2,1
BM2479,10,2.39,34,-0.91,5,11,5.95,1,40,0,6.03,6,2,1,0,1,0,10.2,3,2,3,77,2,4,1
BM2298,27,6.34,82,3.59,1,50,7.43,3,236,0,0.64,5,11,1,1,0,2,14.6,2,3,1,70,1,3,1
BM2272,20,4.78,60,2.74,5,37,5.48,1,163,0,3.09,2,9,0,0,1,0,13.8,3,0,3,57,2,3,1
BM2550,2,0.67,6,-0.85,10,10,3.1,1,0,0,4.65,0,9,0,1,0,2,18.6,2,1,3,71,2,3,0
BM2651,12,2.82,38,5.25,8,23,7.82,8,29,0,6.57,3,8,0,1,0,2,9.8,1,0,1,43,0,1,1
BM2087,8,1.9,22,-3.0,10,13,5.44,1,107,1,8.22,4,11,0,1,0,0,8.5,2,1,2,41,4,1,0
BM2129,11,2.59,35,0.26,2,24,10.91,7,64,0,2.73,1,9,0,1,0,0,11.5,2,2,1,68,3,4,1
BM2341,12,2.77,34,0.66,4,31,6.18,6,96,0,2.85,1,12,1,1,0,0,12.4,2,2,2,91,2,1,1
BM2442,4,0.86,11,-1.41,13,3,7.41,2,51,0,0.44,2,6,1,0,0,0,16.2,2,0,2,66,3,3,1
BM2025,8,1.76,25,-2.14,19,16,4.58,14,61,1,2.73,3,5,0,1,0,0,12.8,1,1,1,90,0,4,0
BM2588,17,3.95,51,0.19,1,23,5.17,2,91,0,3.1,3,8,1,1,1,0,13.7,3,1,3,43,1,1,1
BM2339,6,1.46,15,0.66,10,17,9.91,6,52,1,1.69,2,6,0,0,1,0,19.6,3,0,2,73,0,3,0
BM2179,10,2.3,29,-2.98,3,20,5.22,2,76,0,3.14,2,10,1,0,0,1,17.5,1,0,1,95,2,2,1
BM2353,5,1.28,16,4.52,21,25,3.71,2,56,1,2.76,2,4,0,0,0,1,7.6,1,1,1,62,2,2,0
BM2786,15,3.3,43,1.03,3,26,4.81,6,158,0,0.98,2,5,1,1,1,0,12.6,1,0,3,54,2,3,1
BM2631,11,2.36,32,-0.95,12,21,5.45,6,15,0,3.26,3,12,1,0,0,1,10.9,3,1,2,63,1,5,1
BM2092,24,5.51,74,0.21,7,43,4.54,5,221,0,4.45,1,9,0,0,1,0,12.3,2,1,3,36,2,5,1
BM2046,4,0.9,9,-5.87,29,12,13.09,6,0,1,1.91,3,7,0,0,0,0,11.4,2,0,2,72,3,3,0
BM2307,7,1.66,24,3.35,3,17,5.61,4,61,0,6.47,2,12,0,1,1,0,15.7,3,0,3,85,7,2,1
BM2700,16,3.75,44,0.06,5,30,12.55,13,96,0,6.15,6,9,1,1,1,1,8.9,1,0,1,97,1,2,1
BM2649,10,2.37,28,2.23,34,25,7.71,4,82,1,3.33,0,10,1,1,0,0,19.1,1,2,1,78,2,4,0
BM2398,9,1.96,25,-0.79,5,20,3.52,5,0,0,5.83,3,9,1,1,1,0,13.7,1,2,3,55,4,3,1
BM2177,19,4.43,56,1.52,5,32,4.76,3,73,0,0.24,4,3,1,1,0,0,9.5,1,0,1,94,0,4,1
BM2759,3,0.71,7,0.26,28,5,2.98,2,17,1,0.59,4,8,1,1,0,0,8.1,2,0,1,93,1,3,0
BM2499,9,2.14,26,1.08,0,20,9.52,7,53,1,0.48,4,1,1,0,1,0,6.7,3,2,2,83,3,1,0
BM2448,11,2.51,33,0.75,1,28,3.64,3,98,0,2.21,4,6,1,0,0,0,12.5,3,1,1,56,0,1,1
BM2295,14,3.28,44,-0.38,4,23,5.22,3,118,0,5.13,5,3,1,0,1,0,15.3,3,0,3,53,1,2,1
BM2464,12,2.77,34,-4.16,1,23,2.28,6,98,0,1.35,2,4,1,0,0,0,8.6,2,1,3,46,1,3,1
BM2595,18,4.07,53,2.32,17,25,6.16,3,132,0,1.97,0,5,1,1,0,0,12.4,1,0,2,63,2,5,1
BM2265,13,3.1,36,-0.93,0,29,4.57,3,170,0,4.78,5,3,1,1,0,0,12.9,3,0,1,65,0,5,1
BM2221,12,2.81,35,-2.38,2,19,9.31,4,45,0,1.51,4,12,1,1,0,1,15.5,2,0,2,79,2,5,1
BM2730,16,3.69,46,-1.24,5,32,17.82,11,192,0,3.82,1,4,1,1,0,0,9.6,3,1,2,60,3,1,0
BM2063,14,3.13,43,-0.13,9,29,4.8,6,143,0,1.51,2,12,1,0,1,0,12.1,2,1,1,73,1,1,1
BM2171,5,1.06,13,-1.98,59,10,2.21,5,61,1,2.97,4,11,1,0,0,0,12.0,2,1,2,29,2,2,0
BM2635,8,1.82,24,-1.46,5,21,3.18,1,0,0,1.11,4,11,0,0,0,0,19.2,2,0,1,91,1,2,1
BM2324,9,2.18,26,0.76,1,31,3.48,7,79,0,2.4,3,1,1,1,0,1,12.9,2,0,2,68,4,3,1
BM2610,8,1.75,26,2.06,3,16,3.37,7,45,0,10.31,4,5,1,1,0,0,12.2,3,1,2,78,3,1,1
BM2746,6,1.34,16,-2.2,2,20,1.39,8,4,0,2.34,5,9,0,0,1,0,10.9,2,3,1,63,4,1,1
BM2641,18,4.09,51,-1.09,11,36,8.1,6,128,0,1.89,4,3,0,0,0,0,12.8,1,1,1,80,2,4,1
BM2325,9,2.13,26,-1.64,20,12,8.11,3,113,0,2.58,1,6,0,0,1,0,13.3,1,2,2,86,3,2,1
BM2268,7,1.73,23,-0.39,26,15,4.98,4,90,1,1.99,5,1,1,1,0,0,13.2,1,0,2,75,1,1,0
BM2183,4,0.9,9,-0.4,29,19,1.28,3,0,1,0.64,4,10,0,1,0,0,6.4,3,0,1,65,0,2,0
BM2158,12,2.64,33,-4.84,2,25,6.08,15,126,0,1.77,1,6,1,0,0,0,12.8,3,1,1,83,4,1,0
BM2253,18,4.06,53,-0.46,1,42,6.16,2,146,0,1.65,6,1,1,0,1,0,14.2,3,0,1,83,4,3,1
BM2569,8,1.58,26,2.5,0,14,3.54,2,110,0,8.71,2,5,1,1,1,0,5.0,1,1,3,57,1,2,1
