order_id,customer_age,annual_income,num_purchases,purchase_amount,customer_rating,product_category,region,signup_days_ago
100361,43.0,53797.4,6,269.25,2.0,electronics ,United States,727
100158,32.0,66164.15,6,363.85,3.0,home & garden,United States,320
100477,24.0,,4,174.93,4.0,apparel,us,193
100517,30.0,56868.46,3,141.35,1.0, Electronics,U.S.,748
100275,43.0,92796.45,5,262.56,1.0, Books,U.S.,770
100362,50.0,76916.56,5,377.89,2.0,Electronics,us,873
100310,52.0,48060.38,7,337.0,4.0,ELECTRONICS,uk,298
100199,36.0,67384.1,3,8860.61259481485,1.0, Books,UK,901
100521,27.0,66773.02,7,480.86,4.0,Electronics,USA,793
100090,46.0,73503.94,7,477.56,3.0,apparel,U.S.,68
100081,30.0,32840.61,7,330.27,4.0,TOYS,us,561
100264,44.0,44899.72,3,184.78,3.0,Apparel,Canada,501
100354,51.0,104113.69,8,361.08,3.0,home & garden,U.S.,836
100221,41.0,58130.92,5,135.53,5.0,home & garden,us,872
100211,22.0,46175.26,7,231.13,1.0,books,CANADA,618
100063,45.0,58881.7,8,258.99,4.0,Home and Garden,US,192
100054,32.0,76530.08,9,497.38,4.0,APPAREL,U.S.,809
100598,41.0,48283.82,7,321.57,4.0, Books,us,618
100299,42.0,50940.1,6,281.56,3.0, Electronics,CA,769
100155,59.0,,4,242.62,,Home and Garden,CANADA,562
100109,18.0,58719.13,4,145.98,2.0,Books,uk,387
100612,,71844.33,5,289.7,1.0,Home & Garden,UK,958
100360,36.0,53955.36,14,289.87,1.0,APPAREL,US,642
100334,38.0,103600.78,2,208.25,3.0,home & garden,U.S.,281
100631,69.0,131091.09,6,471.91,2.0,books,CANADA,411
100635,35.0,51516.38,6,315.26,2.0,books,U.S.,810
100256,43.0,48690.42,5,195.63,5.0,apparel,US,723
100281,18.0,81614.15,6,316.88,5.0, Books,US,413
100513,37.0,39761.54,5,162.69,1.0,ELECTRONICS,United Kingdom,350
100076,33.0,55208.33,8,267.52,1.0,books,US,956
100363,25.0,65815.78,4,254.5,,Apparel,CA,144
100551,45.0,141699.13,5,467.67,4.0,Electronics,USA,823
